Date,Open,High,Low,Close,Adj Close,Volume
2005-07-06,60.5,60.73,59.029999,59.110001,43.147465,18228200
2005-07-07,58.650002,59.540001,58.290001,59.52,43.446735,16118200
2005-07-08,59.68,60.119999,58.970001,59.400002,43.359154,17006900
2005-07-11,59.389999,60,58.720001,59.970001,43.775215,14818500
2005-07-12,59.970001,60.240002,59.400002,59.889999,43.716824,18421700
2005-07-13,59.889999,60.049999,59.369999,59.759998,43.621937,11568800
2005-07-14,59.889999,60.150002,58.310001,58.59,42.767899,20490100
2005-07-15,58.59,58.939999,57.880001,58.16,42.454014,16691600
2005-07-18,58.02,58.470001,57.689999,58.150002,42.446705,13194200
2005-07-19,58.48,58.82,57.93,58.779999,42.906574,19056400
2005-07-20,58.5,59.02,57.990002,59,43.067165,19289500
2005-07-21,58.75,59.049999,57.849998,57.889999,42.256924,16092700
2005-07-22,58.200001,59.700001,58.150002,59.5,43.432144,19107400
2005-07-25,59.950001,60.470001,59.450001,59.939999,43.753323,16941900
2005-07-26,59.849998,59.970001,59.5,59.599998,43.505146,12079800
2005-07-27,59.799999,59.900002,58.849998,59.599998,43.505146,13527500
2005-07-28,59.82,60.110001,58.970001,60,43.797108,19130300
2005-07-29,60.040001,60.169998,58.75,58.75,42.884686,17608000
2005-08-01,59.23,59.740002,59.139999,59.23,43.235043,13034900
2005-08-02,59.360001,59.810001,59.27,59.810001,43.65844,13280500
2005-08-03,60.09,60.09,58.869999,59,43.067165,19117100
2005-08-04,58.970001,59.369999,58.5,58.52,42.716785,15883900
2005-08-05,58.540001,58.700001,57.759998,58.09,42.402916,14007500
2005-08-08,58.650002,59.450001,58.439999,58.849998,42.957661,17174700
2005-08-09,59.16,59.75,59.110001,59.459999,43.402946,16054900
2005-08-10,59.75,60.240002,59.57,59.900002,43.938412,19314800
2005-08-11,60.119999,60.98,60.060001,60.950001,44.708645,21222900
2005-08-12,61,61.34,60.630001,61.049999,44.781986,14783200
2005-08-15,60.950001,61.080002,60.41,60.419998,44.319851,12958100
2005-08-16,60.419998,60.48,59.07,59.07,43.329601,16540700
2005-08-17,59.049999,59.490002,57.84,58.18,42.67675,21657000
2005-08-18,58.150002,58.540001,57.779999,58.110001,42.625381,15099500
2005-08-19,58.52,58.990002,58.369999,58.82,43.146206,14616600
2005-08-22,59.540001,59.75,58.509998,59.07,43.329601,15677600
2005-08-23,59.110001,59.299999,58.369999,59,43.278244,17219400
2005-08-24,59.150002,59.610001,58.740002,58.880001,43.190228,17986500
2005-08-25,58.849998,59.200001,58.5,59.18,43.410282,14469700
2005-08-26,58.93,59.18,58.41,58.41,42.84547,13423900
2005-08-29,59.240002,59.240002,58.119999,58.419998,42.852791,17740500
2005-08-30,58.43,59.119999,58.189999,58.610001,42.992165,21046300
2005-08-31,58.799999,60,58.650002,59.900002,43.938412,32236900
2005-09-01,60.099998,62.040001,60.099998,61.68,45.244099,32577100
2005-09-02,61.549999,61.549999,60.459999,60.68,44.510586,20465600
2005-09-06,60.619999,61.110001,60.25,61.060001,44.789326,19211100
2005-09-07,60.950001,61.700001,60.700001,61.459999,45.082726,30904100
2005-09-08,61.439999,61.630001,61,61.299999,44.965363,15050900
2005-09-09,61.610001,63.200001,61.599998,63.200001,46.35907,22617000
2005-09-12,62.849998,63.049999,62.349998,62.52,45.860271,17627200
2005-09-13,62.200001,62.900002,61.73,61.869999,45.383492,16413600
2005-09-14,62.009998,62.75,61.889999,62.470001,45.823586,14825800
2005-09-15,62.869999,63.18,61.799999,62.459999,45.816246,19230900
2005-09-16,63,63.889999,62.880001,63.700001,46.725838,30370600
2005-09-19,64,64.949997,63.900002,64.629997,47.408012,20478300
2005-09-20,64.379997,64.989998,64.209999,64.529999,47.334671,17415500
2005-09-21,65.040001,65.290001,64.769997,64.970001,47.657421,23095900
2005-09-22,65.309998,65.959999,64.080002,64.980003,47.664753,25908200
2005-09-23,64.599998,64.709999,63.599998,63.830002,46.82119,18963700
2005-09-26,63.700001,65.010002,63.5,64.599998,47.386005,17997400
2005-09-27,64.32,64.669998,63.75,64.620003,47.400681,16848300
2005-09-28,64.650002,64.830002,63.849998,64.699997,47.459354,18704200
2005-09-29,64.5,64.910004,64.110001,64.800003,47.532715,16036200
2005-09-30,64.610001,64.620003,63.299999,63.540001,46.608463,16028700
2005-10-03,63.549999,63.889999,62.400002,62.490002,45.838257,20848600
2005-10-04,62.349998,62.349998,60.41,60.549999,44.415222,21585400
2005-10-05,60.549999,61.049999,58.900002,58.950001,43.24157,27909500
2005-10-06,58.700001,59.360001,57.900002,58.57,42.962826,31794000
2005-10-07,59.080002,60.040001,58.799999,59.599998,43.718372,21812100
2005-10-10,59.599998,59.610001,58.299999,58.5,42.911484,16128500
2005-10-11,58.990002,59.720001,58.84,59.400002,43.571663,16471400
2005-10-12,59.380001,59.790001,58.509998,58.939999,43.234234,15687800
2005-10-13,58.5,58.82,57.32,58.16,42.662075,21880200
2005-10-14,57.799999,58.720001,57.139999,58.639999,43.014164,20260600
2005-10-17,59.049999,59.450001,58.66,58.860001,43.175552,14339000
2005-10-18,58.299999,58.580002,56.299999,56.299999,41.297718,65915600
2005-10-19,56.5,57.349998,55.650002,57.169998,41.935883,30831900
2005-10-20,57,57.18,54.5,55.200001,40.490829,29629800
2005-10-21,55.279999,56.27,55.060001,55.369999,40.615536,24141600
2005-10-24,55.310001,56.939999,55.310001,56.849998,41.701164,18975500
2005-10-25,56.950001,57.43,56.25,57.200001,41.95789,22940400
2005-10-26,57.25,57.889999,56.200001,56.200001,41.224365,24879300
2005-10-27,56.549999,57,55.279999,55.599998,40.784245,21136600
2005-10-28,56.049999,56.610001,54.790001,56.310001,41.305046,27009000
2005-10-31,57.029999,57.369999,56.060001,56.139999,41.180355,25117500
2005-11-01,56.09,56.869999,56.009998,56.400002,41.371071,14677800
2005-11-02,56.5,57.5,56.169998,57.380001,42.089924,21129000
2005-11-03,57.830002,58.82,57.389999,58.57,42.962826,20832000
2005-11-04,58.57,58.700001,57.25,57.900002,42.471355,24398700
2005-11-07,57.799999,57.84,56.869999,57.099998,41.884525,22196400
2005-11-08,56.810001,57.580002,56.75,57.369999,42.297413,16622400
2005-11-09,57.369999,58.330002,56.849998,57.5,42.393257,25310800
2005-11-10,57.299999,57.299999,55.84,56.450001,41.619118,26627600
2005-11-11,56.290001,56.759998,56.18,56.52,41.670727,12735500
2005-11-14,56.82,56.990002,56.16,56.650002,41.766575,15368800
2005-11-15,56.419998,57.209999,56.259998,56.43,41.604374,21016900
2005-11-16,56.389999,57.299999,56.130001,57.18,42.157326,21299200
2005-11-17,57.540001,57.889999,57.150002,57.380001,42.304783,19446300
2005-11-18,58.099998,58.389999,57.150002,58.25,42.94622,21136400
2005-11-21,58.509998,59.380001,58.5,59.369999,43.771957,17815200
2005-11-22,59.549999,59.720001,59.119999,59.66,43.985764,17084900
2005-11-23,59.48,60.240002,59.209999,59.869999,44.140594,12535100
2005-11-25,60.189999,60.259998,59.959999,60.110001,44.317535,6692600
2005-11-28,59.549999,59.849998,58.639999,58.740002,43.307472,15008400
2005-11-29,59,59.43,58.259998,58.34,43.012558,18592400
2005-11-30,58.209999,58.869999,58,58.029999,42.784,21287100
2005-12-01,58.369999,59.400002,58.369999,59.349998,43.75721,16941100
2005-12-02,59.419998,59.439999,58.68,59.07,43.550781,13460100
2005-12-05,59.380001,60.110001,59.330002,59.509998,43.875179,19445500
2005-12-06,59.77,60.380001,59.549999,59.689999,44.007885,16009200
2005-12-07,59.869999,59.959999,58.57,59.02,43.513912,20812200
2005-12-08,59.209999,59.540001,58.82,59.419998,43.808826,16121000
2005-12-09,59.240002,59.330002,58.049999,58.5,43.130524,15868500
